vref,target,reference
EXO 10:9,"And Moses said, We will go with our young and with our old, with our sons and with our daughters, with our flocks and with our herds will we go; for we must hold a feast unto the LORD.","And Moses said, We will go with our young and with our old, with our sons and with our daughters, with our flocks and with our herds will we go; for we must hold a feast unto the LORD."
EXO 10:10,"And he said unto them, Let the LORD be so with you, as I will let you go, and your little ones: look to it; for evil is before you.","And he said unto them, Let the LORD be so with you, as I will let you go, and your little ones: look to it; for evil is before you."
EXO 10:11,"Not so: go now ye that are men, and serve the LORD; for that ye did desire. And they were driven out from Pharaoh’s presence.","Not so: go now ye that are men, and serve the LORD; for that ye did desire. And they were driven out from Pharaoh’s presence."
EXO 10:12,"¶ And the LORD said unto Moses, Stretch out thine hand over the land of Egypt for the locusts, that they may come up upon the land of Egypt, and eat every herb of the land, even all that the hail hath left.","¶ And the LORD said unto Moses, Stretch out thine hand over the land of Egypt for the locusts, that they may come up upon the land of Egypt, and eat every herb of the land, even all that the hail hath left."
EXO 10:13,"And Moses stretched forth his rod over the land of Egypt, and the LORD brought an east wind upon the land all that day, and all that night; and when it was morning, the east wind brought the locusts.","And Moses stretched forth his rod over the land of Egypt, and the LORD brought an east wind upon the land all that day, and all that night; and when it was morning, the east wind brought the locusts."
EXO 10:14,"And the locusts went up over all the land of Egypt, and rested in all the coasts of Egypt: very grievous were they; before them there were no such locusts as they, neither after them shall be such.","And the locusts went up over all the land of Egypt, and rested in all the coasts of Egypt: very grievous were they; before them there were no such locusts as they, neither after them shall be such."
EXO 10:15,"For they covered the face of the whole earth, so that the land was darkened; and they did eat every herb of the land, and all the fruit of the trees which the hail had left: and there remained not any green thing in the trees, or in the herbs of the field, through all the land of Egypt.","For they covered the face of the whole earth, so that the land was darkened; and they did eat every herb of the land, and all the fruit of the trees which the hail had left: and there remained not any green thing in the trees, or in the herbs of the field, through all the land of Egypt."
EXO 10:16,"¶ Then Pharaoh called for Moses and Aaron in haste; and he said, I have sinned against the LORD your God, and against you.","¶ Then Pharaoh called for Moses and Aaron in haste; and he said, I have sinned against the LORD your God, and against you."
EXO 10:17,"Now therefore forgive, I pray thee, my sin only this once, and intreat the LORD your God, that he may take away from me this death only.","Now therefore forgive, I pray thee, my sin only this once, and intreat the LORD your God, that he may take away from me this death only."
EXO 10:18,"And he went out from Pharaoh, and intreated the LORD.","And he went out from Pharaoh, and intreated the LORD."
EXO 10:19,"And the LORD turned a mighty strong west wind, which took away the locusts, and cast them into the Red sea; there remained not one locust in all the coasts of Egypt.","And the LORD turned a mighty strong west wind, which took away the locusts, and cast them into the Red sea; there remained not one locust in all the coasts of Egypt."
EXO 10:20,"But the LORD hardened Pharaoh’s heart, so that he would not let the children of Israel go.","But the LORD hardened Pharaoh’s heart, so that he would not let the children of Israel go."
EXO 10:21,"¶ And the LORD said unto Moses, Stretch out thine hand toward heaven, that there may be darkness over the land of Egypt, even darkness which may be felt.","¶ And the LORD said unto Moses, Stretch out thine hand toward heaven, that there may be darkness over the land of Egypt, even darkness which may be felt."
EXO 10:22,And Moses stretched forth his hand toward heaven; and there was a thick darkness in all the land of Egypt three days:,And Moses stretched forth his hand toward heaven; and there was a thick darkness in all the land of Egypt three days:
EXO 10:23,"They saw not one another, neither rose any from his place for three days: but all the children of Israel had light in their dwellings.","They saw not one another, neither rose any from his place for three days: but all the children of Israel had light in their dwellings."
EXO 10:24,"¶ And Pharaoh called unto Moses, and said, Go ye, serve the LORD; only let your flocks and your herds be stayed: let your little ones also go with you.","¶ And Pharaoh called unto Moses, and said, Go ye, serve the LORD; only let your flocks and your herds be stayed: let your little ones also go with you."
EXO 10:25,"And Moses said, Thou must give us also sacrifices and burnt offerings, that we may sacrifice unto the LORD our God.","And Moses said, Thou must give us also sacrifices and burnt offerings, that we may sacrifice unto the LORD our God."
EXO 10:26,"Our cattle also shall go with us; there shall not an hoof be left behind; for thereof must we take to serve the LORD our God; and we know not with what we must serve the LORD, until we come thither.","Our cattle also shall go with us; there shall not an hoof be left behind; for thereof must we take to serve the LORD our God; and we know not with what we must serve the LORD, until we come thither."
EXO 10:27,"¶ But the LORD hardened Pharaoh’s heart, and he would not let them go.","¶ But the LORD hardened Pharaoh’s heart, and he would not let them go."
EXO 10:28,"And Pharaoh said unto him, Get thee from me, take heed to thyself, see my face no more; for in that day thou seest my face thou shalt die.","And Pharaoh said unto him, Get thee from me, take heed to thyself, see my face no more; for in that day thou seest my face thou shalt die."
EXO 10:29,"And Moses said, Thou hast spoken well, I will see thy face again no more.","And Moses said, Thou hast spoken well, I will see thy face again no more."
EXO 11:1,"And the LORD said unto Moses, Yet will I bring one plague more upon Pharaoh, and upon Egypt; afterwards he will let you go hence: when he shall let you go, he shall surely thrust you out hence altogether.","And the LORD said unto Moses, Yet will I bring one plague more upon Pharaoh, and upon Egypt; afterwards he will let you go hence: when he shall let you go, he shall surely thrust you out hence altogether."
EXO 11:2,"Speak now in the ears of the people, and let every man borrow of his neighbour, and every woman of her neighbour, jewels of silver, and jewels of gold.","Speak now in the ears of the people, and let every man borrow of his neighbour, and every woman of her neighbour, jewels of silver, and jewels of gold."
EXO 11:3,"And the LORD gave the people favour in the sight of the Egyptians. Moreover the man Moses was very great in the land of Egypt, in the sight of Pharaoh’s servants, and in the sight of the people.","And the LORD gave the people favour in the sight of the Egyptians. Moreover the man Moses was very great in the land of Egypt, in the sight of Pharaoh’s servants, and in the sight of the people."
EXO 11:4,"And Moses said, Thus saith the LORD, About midnight will I go out into the midst of Egypt:","And Moses said, Thus saith the LORD, About midnight will I go out into the midst of Egypt:"
EXO 11:5,"And all the firstborn in the land of Egypt shall die, from the firstborn of Pharaoh that sitteth upon his throne, even unto the firstborn of the maidservant that is behind the mill; and all the firstborn of beasts.","And all the firstborn in the land of Egypt shall die, from the firstborn of Pharaoh that sitteth upon his throne, even unto the firstborn of the maidservant that is behind the mill; and all the firstborn of beasts."
